dateRep,cases,deaths,countriesAndTerritories,continentExp,gdp_per_capita,life_expectancy,population,tests_units,Smokers
4/24/2020,105,2,Afghanistan,Asia,1803.987,64.83,41128772,,
4/23/2020,84,4,Afghanistan,Asia,1803.987,64.83,41128772,,
4/22/2020,61,1,Afghanistan,Asia,1803.987,64.83,41128772,,
4/21/2020,35,2,Afghanistan,Asia,1803.987,64.83,41128772,,
4/20/2020,88,3,Afghanistan,Asia,1803.987,64.83,41128772,,
4/19/2020,63,0,Afghanistan,Asia,1803.987,64.83,41128772,,
4/18/2020,51,1,Afghanistan,Asia,1803.987,64.83,41128772,,
4/17/2020,10,4,Afghanistan,Asia,1803.987,64.83,41128772,,
4/16/2020,70,2,Afghanistan,Asia,1803.987,64.83,41128772,,
4/15/2020,49,2,Afghanistan,Asia,1803.987,64.83,41128772,,
4/14/2020,58,3,Afghanistan,Asia,1803.987,64.83,41128772,,
4/13/2020,52,0,Afghanistan,Asia,1803.987,64.83,41128772,,
4/12/2020,34,3,Afghanistan,Asia,1803.987,64.83,41128772,,
4/11/2020,37,0,Afghanistan,Asia,1803.987,64.83,41128772,,
4/10/2020,61,1,Afghanistan,Asia,1803.987,64.83,41128772,,
4/9/2020,56,3,Afghanistan,Asia,1803.987,64.83,41128772,,
4/8/2020,30,4,Afghanistan,Asia,1803.987,64.83,41128772,,
4/7/2020,38,0,Afghanistan,Asia,1803.987,64.83,41128772,,
4/6/2020,29,2,Afghanistan,Asia,1803.987,64.83,41128772,,
4/5/2020,35,1,Afghanistan,Asia,1803.987,64.83,41128772,,
4/4/2020,0,0,Afghanistan,Asia,1803.987,64.83,41128772,,
4/3/2020,43,0,Afghanistan,Asia,1803.987,64.83,41128772,,
4/2/2020,26,0,Afghanistan,Asia,1803.987,64.83,41128772,,
4/1/2020,25,0,Afghanistan,Asia,1803.987,64.83,41128772,,
3/31/2020,27,0,Afghanistan,Asia,1803.987,64.83,41128772,,
3/30/2020,8,1,Afghanistan,Asia,1803.987,64.83,41128772,,
3/29/2020,15,1,Afghanistan,Asia,1803.987,64.83,41128772,,
3/28/2020,16,1,Afghanistan,Asia,1803.987,64.83,41128772,,
3/27/2020,0,0,Afghanistan,Asia,1803.987,64.83,41128772,,
3/26/2020,33,0,Afghanistan,Asia,1803.987,64.83,41128772,,
3/25/2020,2,0,Afghanistan,Asia,1803.987,64.83,41128772,,
3/24/2020,6,1,Afghanistan,Asia,1803.987,64.83,41128772,,
3/23/2020,10,0,Afghanistan,Asia,1803.987,64.83,41128772,,
3/22/2020,0,0,Afghanistan,Asia,1803.987,64.83,41128772,,
3/21/2020,2,0,Afghanistan,Asia,1803.987,64.83,41128772,,
3/20/2020,0,0,Afghanistan,Asia,1803.987,64.83,41128772,,
3/19/2020,0,0,Afghanistan,Asia,1803.987,64.83,41128772,,
3/18/2020,1,0,Afghanistan,Asia,1803.987,64.83,41128772,,
3/17/2020,5,0,Afghanistan,Asia,1803.987,64.83,41128772,,
3/16/2020,6,0,Afghanistan,Asia,1803.987,64.83,41128772,,
3/15/2020,3,0,Afghanistan,Asia,1803.987,64.83,41128772,,
3/11/2020,3,0,Afghanistan,Asia,1803.987,64.83,41128772,,
3/8/2020,3,0,Afghanistan,Asia,1803.987,64.83,41128772,,
3/2/2020,0,0,Afghanistan,Asia,1803.987,64.83,41128772,,
3/1/2020,0,0,Afghanistan,Asia,1803.987,64.83,41128772,,
2/29/2020,0,0,Afghanistan,Asia,1803.987,64.83,41128772,,
2/28/2020,0,0,Afghanistan,Asia,1803.987,64.83,41128772,,
2/27/2020,0,0,Afghanistan,Asia,1803.987,64.83,41128772,,
2/26/2020,0,0,Afghanistan,Asia,1803.987,64.83,41128772,,
2/25/2020,1,0,Afghanistan,Asia,1803.987,64.83,41128772,,
2/24/2020,0,0,Afghanistan,Asia,1803.987,64.83,41128772,,
2/23/2020,0,0,Afghanistan,Asia,1803.987,64.83,41128772,,
2/22/2020,0,0,Afghanistan,Asia,1803.987,64.83,41128772,,
2/21/2020,0,0,Afghanistan,Asia,1803.987,64.83,41128772,,
2/20/2020,0,0,Afghanistan,Asia,1803.987,64.83,41128772,,
2/19/2020,0,0,Afghanistan,Asia,1803.987,64.83,41128772,,
2/18/2020,0,0,Afghanistan,Asia,1803.987,64.83,41128772,,
2/17/2020,0,0,Afghanistan,Asia,1803.987,64.83,41128772,,
2/16/2020,0,0,Afghanistan,Asia,1803.987,64.83,41128772,,
2/15/2020,0,0,Afghanistan,Asia,1803.987,64.83,41128772,,
2/14/2020,0,0,Afghanistan,Asia,1803.987,64.83,41128772,,
2/13/2020,0,0,Afghanistan,Asia,1803.987,64.83,41128772,,
2/12/2020,0,0,Afghanistan,Asia,1803.987,64.83,41128772,,
2/11/2020,0,0,Afghanistan,Asia,1803.987,64.83,41128772,,
2/10/2020,0,0,Afghanistan,Asia,1803.987,64.83,41128772,,
2/9/2020,0,0,Afghanistan,Asia,1803.987,64.83,41128772,,
2/8/2020,0,0,Afghanistan,Asia,1803.987,64.83,41128772,,
2/7/2020,0,0,Afghanistan,Asia,1803.987,64.83,41128772,,
2/6/2020,0,0,Afghanistan,Asia,1803.987,64.83,41128772,,
2/5/2020,0,0,Afghanistan,Asia,1803.987,64.83,41128772,,
2/4/2020,0,0,Afghanistan,Asia,1803.987,64.83,41128772,,
2/3/2020,0,0,Afghanistan,Asia,1803.987,64.83,41128772,,
2/2/2020,0,0,Afghanistan,Asia,1803.987,64.83,41128772,,
2/1/2020,0,0,Afghanistan,Asia,1803.987,64.83,41128772,,
1/31/2020,0,0,Afghanistan,Asia,1803.987,64.83,41128772,,
1/30/2020,0,0,Afghanistan,Asia,1803.987,64.83,41128772,,
1/29/2020,0,0,Afghanistan,Asia,1803.987,64.83,41128772,,
1/28/2020,0,0,Afghanistan,Asia,1803.987,64.83,41128772,,
1/27/2020,0,0,Afghanistan,Asia,1803.987,64.83,41128772,,
1/26/2020,0,0,Afghanistan,Asia,1803.987,64.83,41128772,,
1/25/2020,0,0,Afghanistan,Asia,1803.987,64.83,41128772,,
1/24/2020,0,0,Afghanistan,Asia,1803.987,64.83,41128772,,
1/23/2020,0,0,Afghanistan,Asia,1803.987,64.83,41128772,,
1/22/2020,0,0,Afghanistan,Asia,1803.987,64.83,41128772,,
1/21/2020,0,0,Afghanistan,Asia,1803.987,64.83,41128772,,
1/20/2020,0,0,Afghanistan,Asia,1803.987,64.83,41128772,,
1/19/2020,0,0,Afghanistan,Asia,1803.987,64.83,41128772,,
1/18/2020,0,0,Afghanistan,Asia,1803.987,64.83,41128772,,
1/17/2020,0,0,Afghanistan,Asia,1803.987,64.83,41128772,,
1/16/2020,0,0,Afghanistan,Asia,1803.987,64.83,41128772,,
1/15/2020,0,0,Afghanistan,Asia,1803.987,64.83,41128772,,
1/14/2020,0,0,Afghanistan,Asia,1803.987,64.83,41128772,,
1/13/2020,0,0,Afghanistan,Asia,1803.987,64.83,41128772,,
1/12/2020,0,0,Afghanistan,Asia,1803.987,64.83,41128772,,
1/11/2020,0,0,Afghanistan,Asia,1803.987,64.83,41128772,,
1/10/2020,0,0,Afghanistan,Asia,1803.987,64.83,41128772,,
1/9/2020,0,0,Afghanistan,Asia,1803.987,64.83,41128772,,
1/8/2020,0,0,Afghanistan,Asia,1803.987,64.83,41128772,,
1/7/2020,0,0,Afghanistan,Asia,1803.987,64.83,41128772,,
1/6/2020,0,0,Afghanistan,Asia,1803.987,64.83,41128772,,
1/5/2020,0,0,Afghanistan,Asia,1803.987,64.83,41128772,,
1/4/2020,0,0,Afghanistan,Asia,1803.987,64.83,41128772,,
1/3/2020,0,0,Afghanistan,Asia,1803.987,64.83,41128772,,
12/14/2020,788,14,Albania,Europe,11803.431,78.57,2842318,tests performed,58.3
12/13/2020,879,12,Albania,Europe,11803.431,78.57,2842318,tests performed,58.3
12/12/2020,802,12,Albania,Europe,11803.431,78.57,2842318,tests performed,58.3
12/11/2020,873,14,Albania,Europe,11803.431,78.57,2842318,tests performed,58.3
12/10/2020,752,15,Albania,Europe,11803.431,78.57,2842318,tests performed,58.3
12/9/2020,753,14,Albania,Europe,11803.431,78.57,2842318,tests performed,58.3
12/8/2020,695,17,Albania,Europe,11803.431,78.57,2842318,tests performed,58.3
12/7/2020,840,16,Albania,Europe,11803.431,78.57,2842318,tests performed,58.3
12/6/2020,846,19,Albania,Europe,11803.431,78.57,2842318,tests performed,58.3
12/5/2020,801,18,Albania,Europe,11803.431,78.57,2842318,tests performed,58.3
12/4/2020,782,13,Albania,Europe,11803.431,78.57,2842318,tests performed,58.3
12/3/2020,705,17,Albania,Europe,11803.431,78.57,2842318,tests performed,58.3
12/2/2020,832,12,Albania,Europe,11803.431,78.57,2842318,tests performed,58.3
12/1/2020,557,12,Albania,Europe,11803.431,78.57,2842318,tests performed,58.3
11/30/2020,835,11,Albania,Europe,11803.431,78.57,2842318,tests performed,58.3
11/29/2020,545,16,Albania,Europe,11803.431,78.57,2842318,tests performed,58.3
11/28/2020,645,18,Albania,Europe,11803.431,78.57,2842318,tests performed,58.3
11/27/2020,656,10,Albania,Europe,11803.431,78.57,2842318,tests performed,58.3
11/26/2020,644,8,Albania,Europe,11803.431,78.57,2842318,tests performed,58.3
11/25/2020,744,19,Albania,Europe,11803.431,78.57,2842318,tests performed,58.3
11/24/2020,795,17,Albania,Europe,11803.431,78.57,2842318,tests performed,58.3
11/23/2020,565,14,Albania,Europe,11803.431,78.57,2842318,tests performed,58.3
11/22/2020,737,13,Albania,Europe,11803.431,78.57,2842318,tests performed,58.3
11/21/2020,836,15,Albania,Europe,11803.431,78.57,2842318,tests performed,58.3
11/20/2020,786,11,Albania,Europe,11803.431,78.57,2842318,tests performed,58.3
