dateRep;month;countriesAndTerritories;continentExp;cases;deaths;life_expectancy;population
21/7/2020;7;Afghanistan;Asia;140;5; 64.83 ; 41128772.0 
20/7/2020;7;Afghanistan;Asia;174;17; 64.83 ; 41128772.0 
19/7/2020;7;Afghanistan;Asia;12;17; 64.83 ; 41128772.0 
18/7/2020;7;Afghanistan;Asia;219;32; 64.83 ; 41128772.0 
17/7/2020;7;Afghanistan;Asia;76;21; 64.83 ; 41128772.0 
16/7/2020;7;Afghanistan;Asia;254;49; 64.83 ; 41128772.0 
15/7/2020;7;Afghanistan;Asia;285;33; 64.83 ; 41128772.0 
14/7/2020;7;Afghanistan;Asia;4;2; 64.83 ; 41128772.0 
13/7/2020;7;Afghanistan;Asia;0;0; 64.83 ; 41128772.0 
12/7/2020;7;Afghanistan;Asia;85;16; 64.83 ; 41128772.0 
11/7/2020;7;Afghanistan;Asia;458;37; 64.83 ; 41128772.0 
10/7/2020;7;Afghanistan;Asia;255;20; 64.83 ; 41128772.0 
9/7/2020;7;Afghanistan;Asia;59;1; 64.83 ; 41128772.0 
8/7/2020;7;Afghanistan;Asia;210;16; 64.83 ; 41128772.0 
7/7/2020;7;Afghanistan;Asia;433;56; 64.83 ; 41128772.0 
6/7/2020;7;Afghanistan;Asia;279;38; 64.83 ; 41128772.0 
5/7/2020;7;Afghanistan;Asia;348;7; 64.83 ; 41128772.0 
4/7/2020;7;Afghanistan;Asia;302;12; 64.83 ; 41128772.0 
3/7/2020;7;Afghanistan;Asia;186;33; 64.83 ; 41128772.0 
2/7/2020;7;Afghanistan;Asia;319;28; 64.83 ; 41128772.0 
1/7/2020;7;Afghanistan;Asia;279;13; 64.83 ; 41128772.0 
30/6/2020;6;Afghanistan;Asia;271;12; 64.83 ; 41128772.0 
29/6/2020;6;Afghanistan;Asia;351;18; 64.83 ; 41128772.0 
28/6/2020;6;Afghanistan;Asia;165;20; 64.83 ; 41128772.0 
27/6/2020;6;Afghanistan;Asia;276;8; 64.83 ; 41128772.0 
26/6/2020;6;Afghanistan;Asia;460;36; 64.83 ; 41128772.0 
25/6/2020;6;Afghanistan;Asia;234;21; 64.83 ; 41128772.0 
24/6/2020;6;Afghanistan;Asia;338;20; 64.83 ; 41128772.0 
23/6/2020;6;Afghanistan;Asia;310;17; 64.83 ; 41128772.0 
22/6/2020;6;Afghanistan;Asia;409;12; 64.83 ; 41128772.0 
21/6/2020;6;Afghanistan;Asia;546;21; 64.83 ; 41128772.0 
20/6/2020;6;Afghanistan;Asia;346;2; 64.83 ; 41128772.0 
19/6/2020;6;Afghanistan;Asia;658;42; 64.83 ; 41128772.0 
18/6/2020;6;Afghanistan;Asia;564;13; 64.83 ; 41128772.0 
17/6/2020;6;Afghanistan;Asia;783;13; 64.83 ; 41128772.0 
16/6/2020;6;Afghanistan;Asia;761;7; 64.83 ; 41128772.0 
15/6/2020;6;Afghanistan;Asia;664;20; 64.83 ; 41128772.0 
14/6/2020;6;Afghanistan;Asia;556;5; 64.83 ; 41128772.0 
13/6/2020;6;Afghanistan;Asia;656;20; 64.83 ; 41128772.0 
12/6/2020;6;Afghanistan;Asia;747;21; 64.83 ; 41128772.0 
11/6/2020;6;Afghanistan;Asia;684;21; 64.83 ; 41128772.0 
10/6/2020;6;Afghanistan;Asia;542;15; 64.83 ; 41128772.0 
9/6/2020;6;Afghanistan;Asia;575;12; 64.83 ; 41128772.0 
8/6/2020;6;Afghanistan;Asia;791;30; 64.83 ; 41128772.0 
7/6/2020;6;Afghanistan;Asia;582;18; 64.83 ; 41128772.0 
6/6/2020;6;Afghanistan;Asia;915;9; 64.83 ; 41128772.0 
5/6/2020;6;Afghanistan;Asia;787;6; 64.83 ; 41128772.0 
4/6/2020;6;Afghanistan;Asia;758;24; 64.83 ; 41128772.0 
3/6/2020;6;Afghanistan;Asia;759;5; 64.83 ; 41128772.0 
2/6/2020;6;Afghanistan;Asia;545;8; 64.83 ; 41128772.0 
