dateRep;countriesAndTerritories;cases;deaths;life_expectancy;population
29/3/2020;Afghanistan;15;1; 64.83 ; 41128772.0 
28/3/2020;Afghanistan;16;1; 64.83 ; 41128772.0 
27/3/2020;Afghanistan;0;0; 64.83 ; 41128772.0 
26/3/2020;Afghanistan;33;0; 64.83 ; 41128772.0 
25/3/2020;Afghanistan;2;0; 64.83 ; 41128772.0 
24/3/2020;Afghanistan;6;1; 64.83 ; 41128772.0 
23/3/2020;Afghanistan;10;0; 64.83 ; 41128772.0 
22/3/2020;Afghanistan;0;0; 64.83 ; 41128772.0 
21/3/2020;Afghanistan;2;0; 64.83 ; 41128772.0 
20/3/2020;Afghanistan;0;0; 64.83 ; 41128772.0 
19/3/2020;Afghanistan;0;0; 64.83 ; 41128772.0 
18/3/2020;Afghanistan;1;0; 64.83 ; 41128772.0 
17/3/2020;Afghanistan;5;0; 64.83 ; 41128772.0 
16/3/2020;Afghanistan;6;0; 64.83 ; 41128772.0 
15/3/2020;Afghanistan;3;0; 64.83 ; 41128772.0 
11/3/2020;Afghanistan;3;0; 64.83 ; 41128772.0 
8/3/2020;Afghanistan;3;0; 64.83 ; 41128772.0 
2/3/2020;Afghanistan;0;0; 64.83 ; 41128772.0 
1/3/2020;Afghanistan;0;0; 64.83 ; 41128772.0 
29/2/2020;Afghanistan;0;0; 64.83 ; 41128772.0 
28/2/2020;Afghanistan;0;0; 64.83 ; 41128772.0 
27/2/2020;Afghanistan;0;0; 64.83 ; 41128772.0 
26/2/2020;Afghanistan;0;0; 64.83 ; 41128772.0 
25/2/2020;Afghanistan;1;0; 64.83 ; 41128772.0 
24/2/2020;Afghanistan;0;0; 64.83 ; 41128772.0 
23/2/2020;Afghanistan;0;0; 64.83 ; 41128772.0 
22/2/2020;Afghanistan;0;0; 64.83 ; 41128772.0 
21/2/2020;Afghanistan;0;0; 64.83 ; 41128772.0 
20/2/2020;Afghanistan;0;0; 64.83 ; 41128772.0 
19/2/2020;Afghanistan;0;0; 64.83 ; 41128772.0 
18/2/2020;Afghanistan;0;0; 64.83 ; 41128772.0 
17/2/2020;Afghanistan;0;0; 64.83 ; 41128772.0 
16/2/2020;Afghanistan;0;0; 64.83 ; 41128772.0 
15/2/2020;Afghanistan;0;0; 64.83 ; 41128772.0 
14/2/2020;Afghanistan;0;0; 64.83 ; 41128772.0 
13/2/2020;Afghanistan;0;0; 64.83 ; 41128772.0 
12/2/2020;Afghanistan;0;0; 64.83 ; 41128772.0 
11/2/2020;Afghanistan;0;0; 64.83 ; 41128772.0 
10/2/2020;Afghanistan;0;0; 64.83 ; 41128772.0 
9/2/2020;Afghanistan;0;0; 64.83 ; 41128772.0 
8/2/2020;Afghanistan;0;0; 64.83 ; 41128772.0 
7/2/2020;Afghanistan;0;0; 64.83 ; 41128772.0 
6/2/2020;Afghanistan;0;0; 64.83 ; 41128772.0 
5/2/2020;Afghanistan;0;0; 64.83 ; 41128772.0 
4/2/2020;Afghanistan;0;0; 64.83 ; 41128772.0 
3/2/2020;Afghanistan;0;0; 64.83 ; 41128772.0 
2/2/2020;Afghanistan;0;0; 64.83 ; 41128772.0 
1/2/2020;Afghanistan;0;0; 64.83 ; 41128772.0 
31/1/2020;Afghanistan;0;0; 64.83 ; 41128772.0 
30/1/2020;Afghanistan;0;0; 64.83 ; 41128772.0 
29/1/2020;Afghanistan;0;0; 64.83 ; 41128772.0 
28/1/2020;Afghanistan;0;0; 64.83 ; 41128772.0 
27/1/2020;Afghanistan;0;0; 64.83 ; 41128772.0 
26/1/2020;Afghanistan;0;0; 64.83 ; 41128772.0 
25/1/2020;Afghanistan;0;0; 64.83 ; 41128772.0 
24/1/2020;Afghanistan;0;0; 64.83 ; 41128772.0 
23/1/2020;Afghanistan;0;0; 64.83 ; 41128772.0 
22/1/2020;Afghanistan;0;0; 64.83 ; 41128772.0 
21/1/2020;Afghanistan;0;0; 64.83 ; 41128772.0 
20/1/2020;Afghanistan;0;0; 64.83 ; 41128772.0 
19/1/2020;Afghanistan;0;0; 64.83 ; 41128772.0 
18/1/2020;Afghanistan;0;0; 64.83 ; 41128772.0 
17/1/2020;Afghanistan;0;0; 64.83 ; 41128772.0 
16/1/2020;Afghanistan;0;0; 64.83 ; 41128772.0 
15/1/2020;Afghanistan;0;0; 64.83 ; 41128772.0 
14/1/2020;Afghanistan;0;0; 64.83 ; 41128772.0 
13/1/2020;Afghanistan;0;0; 64.83 ; 41128772.0 
12/1/2020;Afghanistan;0;0; 64.83 ; 41128772.0 
11/1/2020;Afghanistan;0;0; 64.83 ; 41128772.0 
10/1/2020;Afghanistan;0;0; 64.83 ; 41128772.0 
9/1/2020;Afghanistan;0;0; 64.83 ; 41128772.0 
8/1/2020;Afghanistan;0;0; 64.83 ; 41128772.0 
7/1/2020;Afghanistan;0;0; 64.83 ; 41128772.0 
6/1/2020;Afghanistan;0;0; 64.83 ; 41128772.0 
5/1/2020;Afghanistan;0;0; 64.83 ; 41128772.0 
4/1/2020;Afghanistan;0;0; 64.83 ; 41128772.0 
3/1/2020;Afghanistan;0;0; 64.83 ; 41128772.0 
2/1/2020;Afghanistan;0;0;#N/D;#N/D
1/1/2020;Afghanistan;0;0;#N/D;#N/D
31/12/2019;Afghanistan;0;0;#N/D;#N/D
14/12/2020;Albania;788;14; 78.57 ; 2842318.0 
13/12/2020;Albania;879;12; 78.57 ; 2842318.0 
12/12/2020;Albania;802;12; 78.57 ; 2842318.0 
11/12/2020;Albania;873;14; 78.57 ; 2842318.0 
10/12/2020;Albania;752;15; 78.57 ; 2842318.0 
9/12/2020;Albania;753;14; 78.57 ; 2842318.0 
8/12/2020;Albania;695;17; 78.57 ; 2842318.0 
7/12/2020;Albania;840;16; 78.57 ; 2842318.0 
6/12/2020;Albania;846;19; 78.57 ; 2842318.0 
5/12/2020;Albania;801;18; 78.57 ; 2842318.0 
4/12/2020;Albania;782;13; 78.57 ; 2842318.0 
3/12/2020;Albania;705;17; 78.57 ; 2842318.0 
2/12/2020;Albania;832;12; 78.57 ; 2842318.0 
1/12/2020;Albania;557;12; 78.57 ; 2842318.0 
30/11/2020;Albania;835;11; 78.57 ; 2842318.0 
29/11/2020;Albania;545;16; 78.57 ; 2842318.0 
28/11/2020;Albania;645;18; 78.57 ; 2842318.0 
27/11/2020;Albania;656;10; 78.57 ; 2842318.0 
26/11/2020;Albania;644;8; 78.57 ; 2842318.0 
25/11/2020;Albania;744;19; 78.57 ; 2842318.0 
24/11/2020;Albania;795;17; 78.57 ; 2842318.0 
23/11/2020;Albania;565;14; 78.57 ; 2842318.0 
22/11/2020;Albania;737;13; 78.57 ; 2842318.0 
21/11/2020;Albania;836;15; 78.57 ; 2842318.0 
20/11/2020;Albania;786;11; 78.57 ; 2842318.0 
19/11/2020;Albania;711;9; 78.57 ; 2842318.0 
18/11/2020;Albania;694;6; 78.57 ; 2842318.0 
17/11/2020;Albania;602;8; 78.57 ; 2842318.0 
16/11/2020;Albania;597;11; 78.57 ; 2842318.0 
15/11/2020;Albania;532;7; 78.57 ; 2842318.0 
14/11/2020;Albania;490;7; 78.57 ; 2842318.0 
13/11/2020;Albania;410;8; 78.57 ; 2842318.0 
12/11/2020;Albania;507;11; 78.57 ; 2842318.0 
11/11/2020;Albania;563;8; 78.57 ; 2842318.0 
10/11/2020;Albania;525;12; 78.57 ; 2842318.0 
9/11/2020;Albania;501;2; 78.57 ; 2842318.0 
8/11/2020;Albania;495;8; 78.57 ; 2842318.0 
7/11/2020;Albania;489;6; 78.57 ; 2842318.0 
6/11/2020;Albania;421;7; 78.57 ; 2842318.0 
5/11/2020;Albania;396;4; 78.57 ; 2842318.0 
4/11/2020;Albania;381;5; 78.57 ; 2842318.0 
3/11/2020;Albania;321;9; 78.57 ; 2842318.0 
2/11/2020;Albania;327;9; 78.57 ; 2842318.0 
1/11/2020;Albania;241;7; 78.57 ; 2842318.0 
31/10/2020;Albania;319;3; 78.57 ; 2842318.0 
30/10/2020;Albania;275;6; 78.57 ; 2842318.0 
29/10/2020;Albania;311;6; 78.57 ; 2842318.0 
28/10/2020;Albania;284;7; 78.57 ; 2842318.0 
27/10/2020;Albania;288;3; 78.57 ; 2842318.0 
26/10/2020;Albania;299;4; 78.57 ; 2842318.0 
25/10/2020;Albania;302;4; 78.57 ; 2842318.0 
24/10/2020;Albania;306;4; 78.57 ; 2842318.0 
23/10/2020;Albania;302;3; 78.57 ; 2842318.0 
22/10/2020;Albania;297;4; 78.57 ; 2842318.0 
21/10/2020;Albania;301;4; 78.57 ; 2842318.0 
20/10/2020;Albania;295;3; 78.57 ; 2842318.0 
19/10/2020;Albania;281;3; 78.57 ; 2842318.0 
18/10/2020;Albania;273;5; 78.57 ; 2842318.0 
17/10/2020;Albania;289;4; 78.57 ; 2842318.0 
16/10/2020;Albania;257;5; 78.57 ; 2842318.0 
15/10/2020;Albania;203;5; 78.57 ; 2842318.0 
14/10/2020;Albania;182;5; 78.57 ; 2842318.0 
13/10/2020;Albania;171;4; 78.57 ; 2842318.0 
12/10/2020;Albania;168;4; 78.57 ; 2842318.0 
11/10/2020;Albania;165;3; 78.57 ; 2842318.0 
10/10/2020;Albania;167;2; 78.57 ; 2842318.0 
9/10/2020;Albania;169;4; 78.57 ; 2842318.0 
8/10/2020;Albania;162;4; 78.57 ; 2842318.0 
7/10/2020;Albania;158;3; 78.57 ; 2842318.0 
6/10/2020;Albania;144;4; 78.57 ; 2842318.0 
5/10/2020;Albania;149;4; 78.57 ; 2842318.0 
4/10/2020;Albania;152;3; 78.57 ; 2842318.0 
3/10/2020;Albania;159;1; 78.57 ; 2842318.0 
2/10/2020;Albania;157;1; 78.57 ; 2842318.0 
1/10/2020;Albania;131;3; 78.57 ; 2842318.0 
30/9/2020;Albania;127;4; 78.57 ; 2842318.0 
29/9/2020;Albania;132;3; 78.57 ; 2842318.0 
28/9/2020;Albania;106;2; 78.57 ; 2842318.0 
27/9/2020;Albania;108;2; 78.57 ; 2842318.0 
26/9/2020;Albania;124;3; 78.57 ; 2842318.0 
25/9/2020;Albania;134;0; 78.57 ; 2842318.0 
24/9/2020;Albania;121;3; 78.57 ; 2842318.0 
23/9/2020;Albania;131;3; 78.57 ; 2842318.0 
22/9/2020;Albania;150;2; 78.57 ; 2842318.0 
21/9/2020;Albania;159;4; 78.57 ; 2842318.0 
20/9/2020;Albania;153;5; 78.57 ; 2842318.0 
19/9/2020;Albania;125;5; 78.57 ; 2842318.0 
18/9/2020;Albania;132;5; 78.57 ; 2842318.0 
